"slug","name.en","name.he","roles.he","sex.en","sex.he","is_current","party","img_url"
"yaalon_moshe","Yaalon Moshe","משה יעלון","משנה לראש הממשלה, שר לנושאים אסטרטגיים","Male","זכר",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/yaalon_moshe-s.jpg"
"cahlon_moshe","Cahlon Moshe","משה כחלון","שר התקשורת, שר הרווחה והשרותים החברתיים","Male","זכר",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/cahlon_moshe-s.jpg"
"matalon_moshe_mutz","Matalon Moshe Mutz","משה מוץ מטלון","חבר כנסת בקואליציה","Male","זכר",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/matalon_moshe_mutz-s.jpg"
"nahari_meshulam","Nahari Meshulam","משולם נהרי","שר","Male","זכר",TRUE,"shas","http://www.knesset.gov.il/mk/images/members/nahari_meshulam-s.jpg"
"vilnai_matan","Vilnai Matan","מתן וילנאי","שר להגנת העורף","Male","זכר",TRUE,"haatzmaut","http://www.knesset.gov.il/mk/images/members/vilnai_matan-s.jpg"
"nachman_shai","Nachman Shai","נחמן שי","חבר כנסת באופוזיציה","Male","זכר",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/nachman_shai-s.jpg"
"Nino_Abesadze","Nino Abesadze","נינו אבסדזה","חברת כנסת באופוזיציה","Female","נקבה",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/Nino_Abesadze-s.jpg"
"Horowitz_Nitzan","Horowitz Nitzan","ניצן הורוביץ","חבר כנסת באופוזיציה","Male","זכר",TRUE,"meretz","http://www.knesset.gov.il/mk/images/members/Horowitz_Nitzan-s.jpg"
"zeev_nissim","Zeev Nissim","נסים זאב","חבר כנסת בקואליציה","Male","זכר",TRUE,"shas","http://www.knesset.gov.il/mk/images/members/zeev_nissim-s.jpg"
"landver_sofa","Landver Sofa","סופה לנדבר","שרה לקליטת עלייה","Female","נקבה",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/landver_sofa-s.jpg"
"miznikov_stas","Miznikov Stas","סטס מיסז`ניקוב","שר התיירות","Male","זכר",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/miznikov_stas-s.jpg"
"shalom_silvan","Shalom Silvan","סילבן שלום","משנה לראש הממשלה, שר לשיתוף פעולה איזורי, שר לפיתוח הנגב והגליל","Male","זכר",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/shalom_silvan-s.jpg"
"naffa_said","Naffa Said","סעיד נפאע","חבר כנסת באופוזיציה","Male","זכר",TRUE,"balad","http://www.knesset.gov.il/mk/images/members/naffa_said-s.jpg"
"landau_uzi","Landau Uzi","עוזי לנדאו","שר התשתיות הלאומיות","Male","זכר",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/landau_uzi-s.jpg"
"Einat_Wilf","Einat Wilf","עינת וילף","חברת כנסת בקואליציה","Female","נקבה",TRUE,"haatzmaut","http://www.knesset.gov.il/mk/images/members/Einat_Wilf-s.jpg"
"peretz_amir","Peretz Amir","עמיר פרץ","חבר כנסת באופוזיציה","Male","זכר",TRUE,"haavoda","http://www.knesset.gov.il/mk/images/members/peretz_amir-s.jpg"
"Agbaria_Afou","Agbaria Afou","עפו אגבאריה","חבר כנסת באופוזיציה","Male","זכר",TRUE,"hadash","http://www.knesset.gov.il/mk/images/members/Agbaria_Afou-s.jpg"
"schneller_otniel","Schneller Otniel","עתניאל שנלר","חבר כנסת באופוזיציה","Male","זכר",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/schneller_otniel-s.jpg"
"Kirshenbaum_Faina","Kirshenbaum Faina","פאינה (פניה) קירשנבאום","חברת כנסת בקואליציה","Female","נקבה",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/Kirshenbaum_Faina-s.jpg"
"hanegbi_tzahi","Hanegbi Tzahi","צחי הנגבי","חבר כנסת לשעבר","Male","זכר",FALSE,"kadima","http://www.knesset.gov.il/mk/images/members/hanegbi_tzahi-s.jpg"
"Pinyan_Zion","Pinyan Zion","ציון פיניאן","חבר כנסת בקואליציה","Male","זכר",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/Pinyan_Zion-s.jpg"
