"slug","name.en","name.he","roles.he","sex.en","sex.he","is_current","party","img_url"
"Plesner_yohanan","Plesner Yohanan","????? ?????","??? ???? ??????????","Male","???",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/Plesner_yohanan-s.jpg"
"Shamalov_Berkovich_Yulia","Shamalov Berkovich Yulia","????? ?????? ???????`","???? ???? ??????????","Female","????",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/Shamalov_Berkovich_Yulia-s.jpg"
"edelstein_yoel","Edelstein Yoel","???? - ???? ????????","?? ?????? ????????","Male","???",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/edelstein_yoel-s.jpg"
"tamir_yuli","Tamir Yuli","???? ????","???? ???? ?????","Female","????",FALSE,"haavoda","http://www.knesset.gov.il/mk/images/members/tamir_yuli-s.jpg"
"Peled_Yossi","Peled Yossi","???? ???","??","Male","???",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/Peled_Yossi-s.jpg"
"edri_yaakov","Edri Yaakov","???? ????","??? ???? ??????????","Male","???",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/edri_yaakov-s.jpg"
"Yaakov_Katzeleh_Katz","Yaakov Katzeleh Katz","???? (???`?) ?”?","??""? ???? ?????? ?????? ??????? ?????","Male","???",TRUE,"haichud_haleumi","http://www.knesset.gov.il/mk/images/members/Yaakov_Katzeleh_Katz-s.jpg"
"lizman_yaakov","Lizman Yaakov","???? ?????","??? ?? ???????","Male","???",TRUE,"yehadut_hatora","http://www.knesset.gov.il/mk/images/members/lizman_yaakov-s.jpg"
"margi_yaakov","Margi Yaakov","???? ????","?? ??????? ??","Male","???",TRUE,"shas","http://www.knesset.gov.il/mk/images/members/margi_yaakov-s.jpg"
"aharonovitch_yitzhak","Aharonovitch Yitzhak","???? ?????????","?? ??????? ????","Male","???",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/aharonovitch_yitzhak-s.jpg"
"herzog_yitzhak","Herzog Yitzhak","???? ?????","??? ???? ??????????","Male","???",TRUE,"haavoda","http://www.knesset.gov.il/mk/images/members/herzog_yitzhak-s.jpg"
"vaknin_yizhak","Vaknin Yizhak","???? ?????","??? ???? ?????????","Male","???",TRUE,"shas","http://www.knesset.gov.il/mk/images/members/vaknin_yizhak-s.jpg"
"cohen_yitzhak","Cohen Yitzhak","???? ???","??? ?? ?????","Male","???",TRUE,"shas","http://www.knesset.gov.il/mk/images/members/cohen_yitzhak-s.jpg"
"levin_yariv","Levin Yariv","???? ????","??""? ???? ?????","Male","???",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/levin_yariv-s.jpg"
"eichler_israel","Eichler Israel","????? ??????","??? ???? ?????????","Female","????",TRUE,"yehadut_hatora","http://www.knesset.gov.il/mk/images/members/eichler_israel-s.jpg"
"hasson_israel","Hasson Israel","????? ????","??? ???? ??????????","Male","???",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/hasson_israel-s.jpg"
"katz_yisrael","Katz Yisrael","????? ??","?? ??????? ???????? ??????","Male","???",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/katz_yisrael-s.jpg"
"Shama_Carmel","Shama Carmel","???? ????","??""? ???? ??????","Male","???",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/Shama_Carmel-s.jpg"
"nass_lea","Nass Lea","??? ??","????? ?? ??????? ??????","Female","????",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/nass_lea-s.jpg"
"shemtov_lia","Shemtov Lia","??? ?????","???? ???? ?????????","Female","????",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/shemtov_lia-s.jpg"
"livnat_limor","Livnat Limor","????? ????","??? ?????? ???????","Female","????",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/livnat_limor-s.jpg"
"porush_meir","Porush Meir","???? ????","??? ???? ?????","Male","???",FALSE,"yehadut_hatora","http://www.knesset.gov.il/mk/images/members/porush_meir-s.jpg"
"shitrit_meir","Shitrit Meir","???? ?????","??""? ????  ????  ???????????","Male","???",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/shitrit_meir-s.jpg"
"whbee_majalli","Whbee Majalli","???? ????","??? ???? ??????????","Male","???",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/whbee_majalli-s.jpg"
"baraka_mohamed","Baraka Mohamed","????? ????","??? ???? ??????????","Male","???",TRUE,"hadash","http://www.knesset.gov.il/mk/images/members/baraka_mohamed-s.jpg"
"eitan_michael","Eitan Michael","????? ????","?? ?????? ?? ????? ?????? ??????? ??????","Male","???",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/eitan_michael-s.jpg"
"Ben_Ari_Michael","Ben Ari Michael","????? ??-???","??? ???? ??????????","Male","???",TRUE,"haichud_haleumi","http://www.knesset.gov.il/mk/images/members/Ben_Ari_Michael-s.jpg"
"regev_miri","Regev Miri","???? ???","???? ???? ?????????","Female","????",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/regev_miri-s.jpg"
"moses_menachem","Moses Menachem","???? ?????? ????","??? ?? ??????","Male","???",TRUE,"yehadut_hatora","http://www.knesset.gov.il/mk/images/members/moses_menachem-s.jpg"
"Ganaim_Masud","Ganaim Masud","????? ?????","??? ???? ??????????","Male","???",TRUE,"raam_taal","http://www.knesset.gov.il/mk/images/members/Ganaim_Masud-s.jpg"
"solodkin_marina","Solodkin Marina","????? ????????","???? ???? ??????????","Female","????",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/solodkin_marina-s.jpg"
"gafni_moshe","Gafni Moshe","??? ????","??""? ???? ??????","Male","???",TRUE,"yehadut_hatora","http://www.knesset.gov.il/mk/images/members/gafni_moshe-s.jpg"
"yaalon_moshe","Yaalon Moshe","??? ?????","???? ???? ??????, ?? ??????? ?????????","Male","???",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/yaalon_moshe-s.jpg"
"cahlon_moshe","Cahlon Moshe","??? ?????","?? ???????, ?? ?????? ???????? ????????","Male","???",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/cahlon_moshe-s.jpg"
"matalon_moshe_mutz","Matalon Moshe Mutz","??? ??? ?????","??? ???? ?????????","Male","???",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/matalon_moshe_mutz-s.jpg"
"nahari_meshulam","Nahari Meshulam","????? ????","??","Male","???",TRUE,"shas","http://www.knesset.gov.il/mk/images/members/nahari_meshulam-s.jpg"
"vilnai_matan","Vilnai Matan","??? ??????","?? ????? ?????","Male","???",TRUE,"haatzmaut","http://www.knesset.gov.il/mk/images/members/vilnai_matan-s.jpg"
"nachman_shai","Nachman Shai","???? ??","??? ???? ??????????","Male","???",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/nachman_shai-s.jpg"
"Nino_Abesadze","Nino Abesadze","???? ??????","???? ???? ??????????","Female","????",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/Nino_Abesadze-s.jpg"
"Horowitz_Nitzan","Horowitz Nitzan","???? ???????","??? ???? ??????????","Male","???",TRUE,"meretz","http://www.knesset.gov.il/mk/images/members/Horowitz_Nitzan-s.jpg"
